bathroom,bedroom,floor_area,lot_size,year,unit_price
1,2,40,88,2009,3935100
2,2,53,88,2009,4597300
2,3,66,99,2009,5573800
3,4,85,99,2009,6388300
2,3,60,100,2007,3198000
2,3,52,80,2007,4080345
2,3,72,100,2007,4436364
2,4,80,120,2007,5337920
3,4,100,120,2007,6379520
1,2,40,40,2005,2338000
1,2,36,40,2005,2424000
1,2,40,63,2005,3243000
1,2,46,63,2005,3365000
1,2,50,63,2005,3440000
1,2,40,88,2005,4324000
2,2,53,88,2005,5013000
2,3,66,88,2005,5607000
2,3,66,99,2005,6088000
3,4,85,99,2005,6489000
3,4,85,110,2005,6970000
2,3,120,190,2014,2500000
1,1,45,45,2015,3000000
3,4,160,210,2013,1500000
1,1,60,60,2014,3000000
3,4,180,240,2015,2000000
2,2,95,189,2013,3700000
1,1,50,106,2014,1800000
2,3,200,200,2015,2500000
2,3,130,220,2013,3500000
2,3,110,186,2014,2800000
1,2,85,140,2015,1750000
1,2,70,70,2013,2200000
2,3,100,184,2014,3200000
2,3,115,187,2015,2600000
1,1,40,40,2013,1650000
1,2,90,90,2014,2900000
3,4,210,267,2015,1850000
2,3,130,218,2013,3400000
1,2,95,157,2014,2100000
1,1,55,55,2015,2450000
2,3,130,212,2013,3100000
3,4,180,255,2014,2750000
2,3,120,179,2015,1950000
1,1,55,55,2013,2300000
1,2,80,80,2014,3600000
2,3,100,173,2015,2650000
2,3,90,141,2013,1550000
1,1,45,45,2014,3300000
3,4,190,267,2015,2850000
1,1,50,50,2013,1900000
2,3,110,195,2014,3250000
1,2,75,129,2015,1700000
2,3,125,196,2013,2550000
3,4,220,316,2014,3800000
2,3,115,183,2015,2400000
1,1,50,50,2013,2700000
2,3,140,192,2014,1600000
3,4,150,233,2015,3150000
1,1,70,70,2013,2350000
1,2,90,169,2014,2950000
3,4,200,260,2015,1980000
2,3,150,214,2013,2200000
1,2,65,65,2014,3450000
2,2,100,155,2015,1750000
1,1,55,55,2013,3050000
2,3,130,187,2014,1850000
1,2,90,90,2015,2200000
2,3,120,209,2013,3450000
1,1,45,45,2014,1650000
3,4,200,284,2015,3200000
1,1,40,40,2013,1500000
2,3,140,223,2014,3150000
1,2,85,85,2015,2350000
1,1,70,70,2013,1950000
2,3,125,211,2014,3300000
1,2,90,154,2015,2200000
1,1,45,45,2013,1800000
2,3,110,182,2014,2600000
3,4,200,288,2015,3400000
1,1,60,60,2013,2100000
2,3,130,205,2014,2750000
1,2,85,85,2015,2400000
1,1,35,35,2013,1500000
2,3,120,198,2014,2900000
2,3,100,100,2015,3100000
2,3,115,189,2013,2700000
2,3,140,224,2014,3200000
1,2,90,90,2015,2600000
1,1,50,50,2013,2000000
3,4,160,250,2014,3500000
